series	image	qpt_ang	roo_ang	energy_ev	delta_e_from_lower_endpoint_ev	delta_e_from_lower_endpoint_mev	profile_error_ev	profile_error_mev	is_transition_region
DFT	1	-0.483891404936579	2.499240410496781	-1949.728382132342	0.000107348919073047	0.107348919073047	0	0	False
DFT	2	-0.3880116402035043	2.457733604381563	-1949.724562470055	0.003927011206087627	3.927011206087627	0	0	False
DFT	3	-0.2600575721836182	2.418006217548474	-1949.711683320944	0.01680616031694626	16.80616031694626	0	0	False
DFT	4	-0.1278232809216238	2.396677189257832	-1949.697951094875	0.03053838638606976	30.53838638606976	0	0	True
DFT	5	-0.0001802773458876583	2.390121850928771	-1949.692417387368	0.0360720938929262	36.0720938929262	0	0	True
DFT	6	0.127509294253904	2.396646293182321	-1949.697962931828	0.03052654943303423	30.52654943303423	0	0	True
DFT	7	0.2598589814746484	2.417960035030855	-1949.711732845667	0.01675663559399254	16.75663559399254	0	0	False
DFT	8	0.3879764216420449	2.457715242769816	-1949.724656077223	0.003833404038005028	3.833404038005028	0	0	False
DFT	9	0.4837794557957305	2.499058262867468	-1949.728489481261	0	0	0	0	False
basin	1	-0.483891404936579	2.499240410496781	-1949.728391142756	4.802859621122479e-07	0.0004802859621122479	-0.0001068686331109348	-0.1068686331109348	False
basin	2	-0.3880116402035043	2.457733604381563	-1949.727565263219	0.0008263598228950286	0.8263598228950286	-0.003100651383192599	-3.100651383192599	False
basin	3	-0.2600575721836182	2.418006217548474	-1949.728248280674	0.0001433423678918189	0.1433423678918189	-0.01666281794905444	-16.66281794905444	False
basin	4	-0.1278232809216238	2.396677189257832	-1949.730646562991	-0.002254939949125401	-2.254939949125401	-0.03279332633519516	-32.79332633519516	True
basin	5	-0.0001802773458876583	2.390121850928771	-1949.731892357029	-0.003500733987038984	-3.500733987038984	-0.03957282787996519	-39.57282787996519	True
basin	6	0.127509294253904	2.396646293182321	-1949.730651760044	-0.002260137002167539	-2.260137002167539	-0.03278668643520177	-32.78668643520177	True
basin	7	0.2598589814746484	2.417960035030855	-1949.728253542017	0.0001380810249429487	0.1380810249429487	-0.01661855456904959	-16.61855456904959	False
basin	8	0.3879764216420449	2.457715242769816	-1949.727566635555	0.0008249874870216445	0.8249874870216445	-0.003008416550983384	-3.008416550983384	False
basin	9	0.4837794557957305	2.499058262867468	-1949.728391623042	0	0	0	0	False
targeted	1	-0.483891404936579	2.499240410496781	-1949.728730403689	9.319589935330441e-07	0.0009319589935330441	-0.000106416960079514	-0.106416960079514	False
targeted	2	-0.3880116402035043	2.457733604381563	-1949.72511663672	0.003614698928004145	3.614698928004145	-0.0003123122780834819	-0.3123122780834819	False
targeted	3	-0.2600575721836182	2.418006217548474	-1949.712547355547	0.01618398010100464	16.18398010100464	-0.0006221802159416256	-0.6221802159416256	False
targeted	4	-0.1278232809216238	2.396677189257832	-1949.700958205467	0.02777313018100358	27.77313018100358	-0.00276525620506618	-2.76525620506618	True
targeted	5	-0.0001802773458876583	2.390121850928771	-1949.696759635359	0.03197170028897744	31.97170028897744	-0.00410039360394876	-4.10039360394876	True
targeted	6	0.127509294253904	2.396646293182321	-1949.700933723718	0.0277976119300547	27.7976119300547	-0.002728937502979534	-2.728937502979534	True
targeted	7	0.2598589814746484	2.417960035030855	-1949.71251961031	0.01621172533805293	16.21172533805293	-0.0005449102559396124	-0.5449102559396124	False
targeted	8	0.3879764216420449	2.457715242769816	-1949.725108562114	0.003622773534061707	3.622773534061707	-0.0002106305039433209	-0.2106305039433209	False
targeted	9	0.4837794557957305	2.499058262867468	-1949.728731335648	0	0	0	0	False
