metric	definition	unit	basin	targeted	targeted_minus_basin	basin_over_targeted	targeted_better	authoritative_source
transition_force_component_rmse_ev_ang	combined components over NEB images with abs(qPT)<=0.15 A	eV/Angstrom	0.1760826457854536	0.07868490481909636	-0.09739774096635724	2.237819899385827	True	${PROJECT_ROOT}/09_strict_comparison/versions/v030_protocol_metric_recovery/attempt_20260722T214034Z/tables/preregistered_primary_metrics_v030r.tsv
lower_endpoint_barrier_abs_error_mev	abs[(max E - min(endpoint E))_model - (max E - min(endpoint E))_DFT]	meV	35.245734070031176	4.10039360394876	-31.145340466082416	8.595695309857287	True	${PROJECT_ROOT}/09_strict_comparison/versions/v030_protocol_metric_recovery/attempt_20260722T214034Z/tables/preregistered_primary_metrics_v030r.tsv
