series	series_label	isotope	interpolation	profile_mode	mass_model	grid_points	extension_fraction	barrier_ev	barrier_mev	endpoint_bias_ev	endpoint_bias_mev	e0_ev	e1_ev	e2_ev	e3_ev	gap_ev	gap_mev	gap_cm1	gap_ghz	e0_below_barrier	e1_below_barrier	classification	left_probability_e0	right_probability_e0	left_probability_e1	right_probability_e1	min_effective_mass_amu	median_effective_mass_amu	max_effective_mass_amu
DFT	PBE	D	pchip	symmetrized	path_metric	1601	0.35	0.036008083934049535	36.00808393404954	0.0	0.0	0.01820920683475293	0.027429292316794033	0.05241065710007571	0.08602127195665041	0.009220085482041104	9.220085482041105	74.36500518526417	2229.4067506633382	True	True	subbarrier_symmetric_doublet	0.5002608166878495	0.49973918331215056	0.4999999999994981	0.5000000000005018	0.5795697453307476	2.275462765294308	2.602976205412848
basin	Basin-focused MTP	D	pchip	symmetrized	path_metric	1601	0.35	0.004326391915243426	4.326391915243426	0.0	0.0	0.006196720621560976	0.028259968082025896	0.04585805570143283	0.08228564275650342	0.02206324746046492	22.063247460464922	177.9520932855843	5334.869500475306	False	False	no_low_subbarrier_doublet	0.500579564832336	0.49942043516766393	0.4999999999994333	0.5000000000005668	0.5795697453307476	2.275462765294308	2.602976205412848
targeted	Transition-focused MTP	D	pchip	symmetrized	path_metric	1601	0.35	0.03196237472756736	31.96237472756736	0.0	0.0	0.01738602286482198	0.02731038566147824	0.051361213785089135	0.08566366353527183	0.00992436279665626	9.924362796656261	80.04538485801594	2399.7002476813823	True	True	subbarrier_symmetric_doublet	0.50028479620324	0.49971520379676004	0.5000000000002184	0.4999999999997815	0.5795697453307476	2.275462765294308	2.602976205412848
DFT	PBE	H	pchip	symmetrized	path_metric	1601	0.35	0.036008083934049535	36.00808393404954	0.0	0.0	0.019236189801016428	0.033305839034958526	0.05930930695190495	0.10625661003771418	0.014069649233942098	14.069649233942098	113.47937503127453	3402.026048751111	True	True	subbarrier_symmetric_doublet	0.5003087074911446	0.4996912925088554	0.5000000000008474	0.4999999999991525	0.3411250242339987	1.9402742221069458	2.249159196785361
basin	Basin-focused MTP	H	pchip	symmetrized	path_metric	1601	0.35	0.004326391915243426	4.326391915243426	0.0	0.0	0.006774790853198862	0.03485424292326321	0.053796304087577504	0.1036271355781665	0.028079452070064348	28.07945207006435	226.47605630739233	6789.581302891658	False	False	no_low_subbarrier_doublet	0.500559340321293	0.499440659678707	0.49999999999977546	0.5000000000002246	0.3411250242339987	1.9402742221069458	2.249159196785361
targeted	Transition-focused MTP	H	pchip	symmetrized	path_metric	1601	0.35	0.03196237472756736	31.96237472756736	0.0	0.0	0.01831027255775499	0.03321451741619287	0.05838544126520749	0.1059635137221845	0.01490424485843788	14.904244858437881	120.21084276702571	3603.830372902895	True	False	only_ground_state_below_barrier	0.5003292536416891	0.4996707463583109	0.5000000000008449	0.49999999999915523	0.3411250242339987	1.9402742221069458	2.249159196785361
