profile_mode	interpolation	mass_model	isotope	dft_gap_mev	basin_gap_mev	targeted_gap_mev	basin_abs_error_mev	targeted_abs_error_mev	targeted_better	basin_classification	targeted_classification	dft_classification
symmetrized	pchip	path_metric	H	14.069649233942098	28.07945207006435	14.904244858437881	14.009802836122251	0.8345956244957833	True	no_low_subbarrier_doublet	only_ground_state_below_barrier	subbarrier_symmetric_doublet
symmetrized	pchip	path_metric	D	9.220085482041105	22.063247460464922	9.924362796656261	12.843161978423817	0.7042773146151564	True	no_low_subbarrier_doublet	subbarrier_symmetric_doublet	subbarrier_symmetric_doublet
symmetrized	pchip	transfer_particle	H	13.315075558527248	24.927334249007806	14.123732048925621	11.612258690480559	0.8086564903983735	True	no_low_subbarrier_doublet	only_ground_state_below_barrier	only_ground_state_below_barrier
symmetrized	pchip	transfer_particle	D	3.7696911656729255	13.575116885514925	4.237229512791256	9.805425719841999	0.4675383471183303	True	no_low_subbarrier_doublet	subbarrier_symmetric_doublet	subbarrier_symmetric_doublet
symmetrized	linear	path_metric	H	14.216340274545221	28.046014642775795	15.054065722093778	13.829674368230574	0.8377254475485572	True	no_low_subbarrier_doublet	only_ground_state_below_barrier	subbarrier_symmetric_doublet
symmetrized	linear	path_metric	D	9.350760213879559	22.022268415450927	10.060115049162228	12.671508201571369	0.7093548352826691	True	no_low_subbarrier_doublet	subbarrier_symmetric_doublet	subbarrier_symmetric_doublet
symmetrized	linear	transfer_particle	H	13.531013055326516	24.865003733580668	14.327814315213468	11.333990678254152	0.7968012598869514	True	no_low_subbarrier_doublet	only_ground_state_below_barrier	only_ground_state_below_barrier
symmetrized	linear	transfer_particle	D	3.886523213907346	13.5078670095412	4.358613712797665	9.621343795633855	0.4720904988903194	True	no_low_subbarrier_doublet	subbarrier_symmetric_doublet	subbarrier_symmetric_doublet
raw	pchip	path_metric	H	14.055420792806563	28.062117678768818	14.889646029304703	14.006696885962254	0.8342252364981402	True	no_low_subbarrier_doublet	only_ground_state_below_barrier	subbarrier_nearly_symmetric_doublet
raw	pchip	path_metric	D	9.210642704558254	22.050891415713153	9.914493434448067	12.8402487111549	0.7038507298898136	True	no_low_subbarrier_doublet	subbarrier_nearly_symmetric_doublet	subbarrier_nearly_symmetric_doublet
raw	pchip	transfer_particle	H	13.304819495504033	24.915517119351303	14.113015106116123	11.61069762384727	0.8081956106120902	True	no_low_subbarrier_doublet	only_ground_state_below_barrier	only_ground_state_below_barrier
raw	pchip	transfer_particle	D	3.7666762303922714	13.569090613139062	4.2330887157564705	9.802414382746791	0.4664124853641991	True	no_low_subbarrier_doublet	subbarrier_nearly_symmetric_doublet	subbarrier_nearly_symmetric_doublet
raw	linear	path_metric	H	14.200782784949164	28.029070768200757	15.038108892238263	13.828287983251593	0.8373261072890994	True	no_low_subbarrier_doublet	only_ground_state_below_barrier	subbarrier_nearly_symmetric_doublet
raw	linear	path_metric	D	9.34023285825697	22.010254399001607	10.049126497169148	12.670021540744637	0.708893638912178	True	no_low_subbarrier_doublet	subbarrier_nearly_symmetric_doublet	subbarrier_nearly_symmetric_doublet
raw	linear	transfer_particle	H	13.52003988418261	24.85337430938319	14.31639163178578	11.333334425200581	0.7963517476031701	True	no_low_subbarrier_doublet	only_ground_state_below_barrier	only_ground_state_below_barrier
raw	linear	transfer_particle	D	3.882969398675419	13.502021326627805	4.353940185205664	9.619051927952386	0.4709707865302448	True	no_low_subbarrier_doublet	subbarrier_nearly_symmetric_doublet	subbarrier_nearly_symmetric_doublet
